option,rate,avg_time
4,0.0,0.6055421829223633
4,0.25,0.6155499219894409
4,0.5,0.6500273942947388
4,0.75,0.7118759155273438
4,0.9,0.8682067394256592
5,0.0,0.5620118379592896
5,0.25,0.5568859577178955
5,0.5,0.5576815605163574
5,0.75,0.5564169883728027
5,0.9,0.557837963104248
